question,answer,retrieved_sources
Как определить тело запроса с Pydantic?,{* ../../docs_src/body/tutorial003_py310.py hl[15:16] *} ## Тело запроса + параметры пути параметры пути { #request-body-path-parameters } Вы можете одновременно объявить параметры пути и тело запроса.,"doc_15, doc_03, doc_07"
Как работать с вложенными моделями?,"## Поля-списки { #list-fields } Вы можете определить атрибут как подтип. определить модель `Image`: {* ../../docs_src/body_nested_models/tutorial004_py310.py hl[7:9] *} ### Использование подмодели как типа { #use-the-submodel-as-a-type } Также мы можем использовать эту модель как тип атрибута: {* ../../docs_src/body_nested_models/tutorial004_py310.py hl[18] *} Это означает, что **FastAPI** будет ожидать тело запроса, аналогичное этому: ```JSON { ""name"": ""Foo"", ""description"": ""The pretender"", ""price"": 42.0, ""tax"": 3.2, ""tags"":","doc_07, doc_02, doc_02"
Как использовать cookie-параметры?,"# Параметры Cookie { #cookie-parameters } Вы можете задать параметры Cookie таким же способом, как `Query` и `Path` параметры. ## Импорт `Cookie` { #import-cookie } Сначала импортируйте `Cookie`: {* ../../docs_src/cookie_params/tutorial001_an_py310.py hl[3] *} ## Объявление параметров `Cookie` { #declare-cookie-parameters } Затем объявляйте параметры cookie, используя ту же структуру, что и с","doc_04, doc_04, doc_04"
Как создавать зависимости с yield?,"**FastAPI** проследит за тем, чтобы «код выхода» в каждой зависимости с `yield` выполнялся в правильном порядке. включая оператор `yield`: {* ../../docs_src/dependencies/tutorial007_py310.py hl[2:4] *} Значение, полученное из `yield`, внедряется в *операции пути* и другие зависимости: {* ../../docs_src/dependencies/tutorial007_py310.py hl[4] *} Код, следующий за оператором `yield`, выполняется после ответа: {* ../../docs_src/dependencies/tutorial007_py310.py hl[5:6] *} /// tip | Подсказка Можно использовать как `async`, так и обычные функции.","doc_05, doc_05, doc_05"
Как объявлять обычные зависимости?,"`q` как строку, а затем возвращает его. # Подзависимости { #sub-dependencies } Вы можете создавать зависимости, которые имеют **подзависимости**.","doc_17, doc_06, doc_17"
Как добавить дополнительные модели для документации?,# Дополнительные модели { #extra-models } В продолжение прошлого примера будет уже обычным делом иметь несколько связанных между собой моделей. * **Модель для базы,"doc_07, doc_07, doc_12"
Как сделать первые шаги с FastAPI?,"# Первые шаги { #first-steps } Самый простой файл FastAPI может выглядеть так: {* ../../docs_src/first_steps/tutorial001_py310.py *} Скопируйте это в файл `main.py`. передать путь к файлу в команду `fastapi dev`, и она попытается определить объект приложения FastAPI для использования: ```console $ fastapi dev main.py ``` Но в этом случае вам придётся каждый раз помнить о передаче корректного пути при вызове команды `fastapi`.","doc_08, doc_05, doc_08"
Как обрабатывать ошибки в приложении?,"Обратите внимание, что в тексте ошибки явно указано место, не прошедшее проверку.","doc_12, doc_05, doc_09"
Как работать с header-параметрами?,"## Импорт `Header` { #import-header } Сперва импортируйте `Header`: {* ../../docs_src/header_params/tutorial001_an_py310.py hl[3] *} ## Объявление параметров `Header` { #declare-header-parameters } Затем объявите параметры заголовка, используя ту же структуру, что # Header-параметры { #header-parameters } Вы можете определить параметры заголовка таким же образом, как вы определяете параметры `Query`, `Path` и `Cookie`.","doc_10, doc_11, doc_03"
Как настраивать конфигурацию операций маршрута?,"# Конфигурация операций пути { #path-operation-configuration } Существует несколько параметров, которые вы можете передать вашему *декоратору операций пути* для его настройки. переопределить операцию с путем: {* ../../docs_src/path_params/tutorial003b_py310.py hl[6,11] *} Первый будет выполняться всегда, так как путь совпадает первым.","doc_11, doc_12, doc_12"
Как использовать path-параметры?,"# Path-параметры { #path-parameters } Вы можете определить ""параметры"" или ""переменные"" пути, используя синтаксис форматированных строк Python: {* ../../docs_src/path_params/tutorial001_py310.py hl[6:7] *} Значение параметра пути `item_id` будет передано в функцию в качестве аргумента `item_id`. Можете использовать так: {* ../../docs_src/path_params/tutorial004_py310.py hl[6] *} /// tip | Подсказка Возможно, вам понадобится,","doc_12, doc_12, doc_14"
Как валидировать query-параметры и строки?,"# Query-параметры и валидация строк { #query-parameters-and-string-validations } **FastAPI** позволяет определять дополнительную информацию и выполнять валидацию для ваших параметров. ## Необязательные параметры { #optional-parameters } Аналогично, вы можете объявлять необязательные query-параметры, установив их значение по умолчанию, равное `None`: {* ../../docs_src/query_params/tutorial002_py310.py hl[7] *} В этом случае, параметр `q` будет не обязательным и будет иметь значение `None` по умолчанию.","doc_13, doc_14, doc_14"
Как использовать query-параметры?,"# Query-параметры { #query-parameters } Когда вы объявляете параметры функции, которые не являются параметрами пути, они автоматически интерпретируются как ""query""-параметры. Они будут обнаружены по именам: {* ../../docs_src/query_params/tutorial004_py310.py hl[6,8] *} ## Обязательные query-параметры { #required-query-parameters } Когда вы объявляете значение по умолчанию для параметра, который не является path-параметром (в этом разделе мы пока что рассмотрели только query-параметры), то он не является обязательным.","doc_14, doc_14, doc_14"
Как определить модель ответа и тип возвращаемых данных?,"Например, вы можете хотеть **возвращать словарь** или объект из базы данных, но **объявить его как Pydantic-модель**. возвращает больше данных, в ответ будут включены только поля, объявленные в модели ответа.","doc_15, doc_15, doc_15"
Как реализовать простую аутентификацию OAuth2 с паролем и Bearer?,"# Простая авторизация OAuth2 с паролем и «Bearer» { #simple-oauth2-with-password-and-bearer } Теперь, отталкиваясь от предыдущей главы, добавим недостающие части, чтобы получить полный поток безопасности. Для OAuth2 это просто строки.","doc_16, doc_16, doc_15"
Как использовать суб-зависимости?,"Вы можете определять зависимости, которые, в свою очередь, могут иметь собственные зависимости. `q` как строку, а затем возвращает его.","doc_17, doc_17, doc_06"
